Date,sulfate,nitrate,ID
9/27/03,NA,NA,1
9/28/03,NA,NA,1
9/29/03,NA,NA,1
9/30/03,NA,NA,1
10/1/03,NA,NA,1
10/2/03,NA,NA,1
10/3/03,NA,NA,1
10/4/03,NA,NA,1
10/5/03,NA,NA,1
10/6/03,7.21,0.651,1
10/7/03,NA,NA,1
10/8/03,NA,NA,1
10/9/03,NA,NA,1
10/10/03,NA,NA,1
10/11/03,NA,NA,1
10/12/03,5.99,0.428,1
10/13/03,NA,NA,1
10/14/03,NA,NA,1
10/15/03,NA,NA,1
10/16/03,NA,NA,1
10/17/03,NA,NA,1
10/18/03,4.68,1.04,1
10/19/03,NA,NA,1
10/20/03,NA,NA,1
10/21/03,NA,NA,1
10/22/03,NA,NA,1
10/23/03,NA,NA,1
10/24/03,3.47,0.363,1
10/25/03,NA,NA,1
10/26/03,NA,NA,1
10/27/03,NA,NA,1
10/28/03,NA,NA,1
10/29/03,NA,NA,1
10/30/03,2.42,0.507,1
10/31/03,NA,NA,1
11/1/03,NA,NA,1
11/2/03,NA,NA,1
11/3/03,NA,NA,1
11/4/03,NA,NA,1
11/5/03,NA,NA,1
11/6/03,NA,NA,1
11/7/03,NA,NA,1
11/8/03,NA,NA,1
11/9/03,NA,NA,1
11/10/03,NA,NA,1
11/11/03,1.43,0.474,1
11/12/03,NA,NA,1
11/13/03,NA,NA,1
11/14/03,NA,NA,1
11/15/03,NA,NA,1
11/16/03,NA,NA,1
11/17/03,2.76,0.425,1
11/18/03,NA,NA,1
11/19/03,NA,NA,1
11/20/03,NA,NA,1
11/21/03,NA,NA,1
11/22/03,NA,NA,1
11/23/03,3.41,0.964,1
11/24/03,NA,NA,1
11/25/03,NA,NA,1
11/26/03,NA,NA,1
11/27/03,NA,NA,1
11/28/03,NA,NA,1
11/29/03,1.3,0.491,1
11/30/03,NA,NA,1
12/1/03,NA,NA,1
12/2/03,NA,NA,1
12/3/03,NA,NA,1
12/4/03,NA,NA,1
12/5/03,3.15,0.669,1
12/6/03,NA,NA,1
12/7/03,NA,NA,1
12/8/03,NA,NA,1
12/9/03,NA,NA,1
12/10/03,NA,NA,1
12/11/03,2.87,0.4,1
12/12/03,NA,NA,1
12/13/03,NA,NA,1
12/14/03,NA,NA,1
12/15/03,NA,NA,1
12/16/03,NA,NA,1
12/17/03,NA,NA,1
12/18/03,NA,NA,1
12/19/03,NA,NA,1
12/20/03,NA,NA,1
12/21/03,NA,NA,1
12/22/03,NA,NA,1
12/23/03,2.27,0.715,1
12/24/03,NA,NA,1
12/25/03,NA,NA,1
12/26/03,NA,NA,1
12/27/03,NA,NA,1
12/28/03,NA,NA,1
12/29/03,2.33,0.554,1
12/30/03,NA,NA,1
12/31/03,NA,NA,1
1/1/04,NA,NA,1
1/2/04,NA,NA,1
1/3/04,NA,NA,1
1/4/04,1.84,0.803,1
